Date,Object,Price,Location,Category,Object Type,Material,Link
2018-11-12 00:00:00,"Sold Nov 12 , 2018 VIKING SILVER TWISTED DECORATED BRACELET VERY RARE th th CENTURY ",44,Morocco,viking | ,jewellery | ,metal | ,https://www.ebay.com/itm/VIKING-SILVER-TWISTED-DECORATED-BRACELET-VERY-RARE-8TH-9TH-CENTURY/173620773388?hash=item286c9ac20c%3Ag%3A%7EaQAAOSwMsJblHrT&LH_Auction=1
2019-02-20 00:00:00,"Sold Feb 20 , 2019 AUTHENTIC MEDIEVAL VIKING ERA MILITARY IRON CROSSBOW ARROW HEAD .279 ",31.65,United Kingdom,medieval | viking | ,weapon | religious | ,metal | ,https://www.ebay.com/itm/AUTHENTIC-MEDIEVAL-VIKING-ERA-MILITARY-IRON-CROSSBOW-ARROW-HEAD-J279/254114488547?hash=item3b2a6760e3%3Ag%3AdugAAOSwFlNcXY3K&LH_Auction=1
2018-11-04 00:00:00,"Sold Nov 4 , 2018 RARE ANCIENT VIKING BRONZE LARGE ARROW HEAD 9 with CENTURY AD ( 3 ) ",25.81,United Kingdom,viking | ,weapon | ,metal | ,https://www.ebay.com/itm/RARE-ANCIENT-VIKING-BRONZE-LARGE-ARROW-HEAD-9-10th-CENTURY-AD-3/312286887816?hash=item48b5bfbf88%3Ag%3AP5AAAOSwIUVb2D6U&LH_Auction=1
2018-12-16 00:00:00,"Sold Dec 16 , 2018 CIRCA 664 33245 ANCIENT EGYPTIAN GLAZED STONE shanti shanti WITH HIEROGLYPHICS ",26.49,United Kingdom,egyptian  | ,statue | text | ,terracotta | stone | ,https://www.ebay.com/itm/CIRCA-664-332BC-ANCIENT-EGYPTIAN-GLAZED-STONE-USHABTI-SHABTI-WITH-HIEROGLYPHICS/153291392184?hash=item23b0e104b8%3Ag%3AHWgAAOSwj5BcB-sb&LH_Auction=1
2019-04-21 00:00:00,"Sold  Apr 21, 2019 I. Nagy Lajos  REX HUNGARIAN KING DENARIUS Anjou Dinasty HUNGARY",2.25,0,?,coin | ,?,"Wien, Austria"
2018-12-01 00:00:00,"Sold Dec 1 , 2018 matter STONE HEAD OF MARCUS AURELIUS ? VERY NICE 1.668 mm ",16,,?,jewellery | ,stone | ,
2019-03-10 00:00:00,"Sold Mar 10 , 2019 ANCIENT EGYPTIAN ANTIQUE shanti ( shanti ) wrapped In Linen Antique 1656 1364 BC ",12,Egypt,egyptian  | ,statue | ,?,https://www.ebay.com/itm/ANCIENT-EGYPTIAN-ANTIQUE-Ushabti-Shabti-wrapped-In-Linen-Antique-1656-1364-BC/254149799352?hash=item3b2c822db8%3Ag%3AkrQAAOSw%7E9JcdcG6&LH_Auction=1
2019-03-10 00:00:00,"Sold Mar 10 , 2019 LOT OF miss . ANCIENT BRONZE ARTIFACTS LOW STARTING PRICE ",26,United States,?,?,metal | ,https://www.ebay.com/itm/LOT-OF-MISC-ANCIENT-BRONZE-ARTIFACTS-LOW-STARTING-PRICE/323719729150?hash=item4b5f330ffe%3Ag%3A9jwAAOSwajRcfAYQ&LH_Auction=1
2019-03-30 00:00:00,"Sold Mar 30 , 2019 ANCIENT INDO GREEK SILVER COIN RING , 171 135.6 . ( 1 ) ",14.46,United Kingdom,greek | ,jewellery | coin | ,metal | ,https://www.ebay.com/itm/ANCIENT-INDO-GREEK-SILVER-COIN-RING-171-135BC-1/312542572303?hash=item48c4fd2f0f%3Ag%3AKaUAAOSw0AFcmOmD&LH_Auction=1
2018-11-08 00:00:00,"Sold  Nov 8, 2018 AUTHENTIC ANCIENT GREEK DECORATED BRONZE SPEAR / SHORT SWORD - L600",30.97,United Kingdom,greek | ,weapon | ,metal | ,https://www.ebay.com/itm/AUTHENTIC-ANCIENT-GREEK-DECORATED-BRONZE-SPEAR-SHORT-SWORD-L600/253949555413?hash=item3b2092b2d5%3Ag%3A8EUAAOSwxG9b0dPW&LH_Auction=1
