Date,Object,Price,Location,Category,Object Type,Material,Link
2019-01-15 00:00:00,"Sold  Jan 15, 2019 Ancient Viking bronze very fat bracelet. REALLY RARE TYPE",40.0,Russia,Viking,jewellery ,metal ,https://www.ebay.com/itm/Ancient-Viking-bronze-very-fat-bracelet-REALLY-RARE-TYPE/183621571988?hash=item2ac0b2d594%3Ag%3AGocAAOSwdGZcMHWS&LH_Auction=1
2019-02-18 00:00:00,"Sold  Feb 18, 2019 Egyptian Antiques Isis Nursing Horus Saite Bronze statue Isis Hathor Goddess",117.5,,Egyptian,statue,metal ,
2018-12-25 00:00:00,"Sold  Dec 25, 2018 RARE LARGE GENUINE ROMAN BRONZE ARCHERS RING - wearable",33.11,United Kingdom,Roman,jewellery ,metal ,https://www.ebay.com/itm/RARE-LARGE-GENUINE-ROMAN-BRONZE-ARCHERS-RING-wearable/401665100390?hash=item5d851b0a66%3Ag%3Ace0AAOSwYUZcG7Hd&LH_Auction=1
2018-12-26 00:00:00,"Sold  Dec 26, 2018 AUTHENTIC MEDIEVAL CRUSADERS ERA BRONZE CROSS - H792",17.87,United Kingdom,Near east,religious ,metal ,https://www.ebay.com/itm/AUTHENTIC-MEDIEVAL-CRUSADERS-ERA-BRONZE-CROSS-H792/254025979764?hash=item3b2520d774%3Ag%3AExIAAOSw1ExcE-KG&LH_Auction=1
2019-01-17 00:00:00,"Sold  Jan 17, 2019 Roman Byzantine Decorated Terracotta Oil Lamp, Ca. 7th-9th Century AD ?",19.2,Canada,Byzantine,vessel ,terracotta metal ,https://www.ebay.com/itm/Roman-Byzantine-Decorated-Terracotta-Oil-Lamp-Ca-7th-9th-Century-AD/283331089276?hash=item41f7d9537c%3Ag%3AiHAAAOSwzhFcM5uS&LH_Auction=1
2018-12-08 00:00:00,"Sold  Dec 8, 2018 ULTRA RARE PHOENICIAN FIGURE STATUETTE 300BC SUPER QUALITY (VERY LARGE SIZE) (4)",42.38,United Kingdom,Near east,statue,,https://www.ebay.com/itm/ULTRA-RARE-PHOENICIAN-FIGURE-STATUETTE-300BC-SUPER-QUALITY-VERY-LARGE-SIZE-4/312352922089?hash=item48b9af59e9%3Ag%3AzHIAAOSwKSlcBXg7&LH_Auction=1
2019-01-30 00:00:00,"Sold  Jan 30, 2019 1 Ancient Neolithic Red Jasper Bead, Stone Age, VERY RARE !!",4.36,Germany,Pre-historic,jewellery tool ,stone ,https://www.ebay.com/itm/1-Ancient-Neolithic-Red-Jasper-Bead-Stone-Age-VERY-RARE/153352115856?hash=item23b47f9690%3Ag%3ASnsAAOSwKwhcSuDH&LH_Auction=1
2019-01-15 00:00:00,"Sold  Jan 15, 2019 EGYPTIAN SEMI PRECIOUS STONE CARVING OF A PHAROAH. RARE",21.19,United Kingdom,Egyptian,statue ,stone ,https://www.ebay.com/itm/EGYPTIAN-SEMI-PRECIOUS-STONE-CARVING-OF-A-PHAROAH-RARE/153331655123?hash=item23b34761d3%3Ag%3AVi8AAOSwNTNcNHqd&LH_Auction=1
2019-01-30 00:00:00,"Sold  Jan 30, 2019 AUTHENTIC ANCIENT INDUS VALLEY TERRACOTTA BOWL W/ FISH  - L108",62.54,United Kingdom,Indus,weapon vessel ,terracotta ,https://www.ebay.com/itm/AUTHENTIC-ANCIENT-INDUS-VALLEY-TERRACOTTA-BOWL-W-FISH-L108/254079723642?hash=item3b2854e87a%3Ag%3AWOIAAOSwJ89cQbr4&LH_Auction=1
2019-02-16 00:00:00,"Sold  Feb 16, 2019 Stunning Ancient Roman Gold Silver ring Senatorial Legionary emperor Claudius",91.0,,Roman,jewellery ,metal ,
2018-12-19 00:00:00,"Sold  Dec 19, 2018 Rare Ancient Roman Terracotta Spoon Artifact",1.25,,Roman,household ,terracotta ,
2019-02-04 00:00:00,"Sold  Feb 4, 2019 AMAZING ARCHAIC ROMAN BRONZE RING DEPICTING CUPID - WEARABLE - RARE",33.11,United Kingdom,Roman,jewellery vessel ,metal ,https://www.ebay.com/itm/AMAZING-ARCHAIC-ROMAN-BRONZE-RING-DEPICTING-CUPID-WEARABLE-RARE/153338900423?hash=item23b3b5efc7%3Ag%3AcREAAOSwe%7ElcO6eU&LH_Auction=1
2019-02-28 00:00:00,"Sold  Feb 28, 2019 VERY RARE ANCIENT EGYPTIAN BLACK GLAZE CANOPIC JAR LATE PERIOD 664 - 332 BC (1)",64.89,United Kingdom,Egyptian,vessel ,,https://www.ebay.com/itm/VERY-RARE-ANCIENT-EGYPTIAN-BLACK-GLAZE-CANOPIC-JAR-LATE-PERIOD-664-332-BC-1/333085577527?hash=item4d8d729137%3Ag%3A65EAAOSwEfVcSgsT&LH_Auction=1
2019-01-26 00:00:00,"Sold  Jan 26, 2019 1 Ancient Neolithic Stone Ear Plug, Stone Age, VERY RARE !!",11.5,Germany,Pre-historic,jewellery tool ,stone ,https://www.ebay.com/itm/1-Ancient-Neolithic-Stone-Ear-Plug-Stone-Age-VERY-RARE/143099035696?hash=item21515e0030%3Ag%3A%7E5sAAOSwUMBcRfI4&LH_Auction=1
2019-01-20 00:00:00,"Sold  Jan 20, 2019  MESOLITHIC /NEOLITHIC  BRITISH  FLINT POINTED   SCRAPERS",19.2,,Pre-historic,weapon tool ,,
2019-02-05 00:00:00,"Sold  Feb 5, 2019  BEAUTIFUL EGYPTIAN GLAZED FAIENCE CANOPIC JAR WITH HEAD OF ANUBIS & HEIROGLYPHS",27.81,United Kingdom,Egyptian,vessel ,glass ,https://www.ebay.com/itm/BEAUTIFUL-EGYPTIAN-GLAZED-FAIENCE-CANOPIC-JAR-WITH-HEAD-OF-ANUBIS-HEIROGLYPHS/153355571300?hash=item23b4b45064%3Ag%3ApCQAAOSwo6NcTvwk&LH_Auction=1
