Date,Object,Price,Location,Category,Object Type,Link
2018-12-07 00:00:00,"Sold  Dec 7, 2018 20 x Neolithic Arrowheads - Genuine Saharan Flint Artifacts - 4000BC (2948)",16.13,United Kingdom,Pre-historic,?,https://www.ebay.com/itm/20-x-Neolithic-Arrowheads-Genuine-Saharan-Flint-Artifacts-4000BC-2948/253971295756?hash=item3b21de6e0c%3Ag%3AR8wAAOSwWIJb5Fpo&LH_Auction=1
2018-10-24 00:00:00,"Sold  Oct 24, 2018 Battle Kisten,  Kievan Rus -  Vikings  - 10 - 13th century AD",42.0,,Viking,?,https://www.ebay.com/itm/Battle-Kisten-Kievan-Rus-Vikings-10-13th-century-AD/232965952842?hash=item363dda554a%3Ag%3AeXcAAOSwksBbcJLq&LH_Auction=1
2019-01-09 00:00:00,"Sold  Jan 9, 2019 lot of Roman bronze objects",21.5,United Kingdom,Roman,?,https://www.ebay.com/itm/lot-of-Roman-bronze-objects/173719795298?hash=item287281b662%3Ag%3A-7gAAOSwiJZcLMlL&LH_Auction=1
2018-11-03 00:00:00,"Sold  Nov 3, 2018 Bactrian rare old stone double side intaglio bead",19.0,Thailand,Central asia,?,https://www.ebay.com/itm/Bactrian-rare-old-stone-double-side-intaglio-bead/123458288879?hash=item1cbeaffcef%3Ag%3AB40AAOSwfvlb11UX&LH_Auction=1
2018-10-21 00:00:00,"Sold  Oct 21, 2018  Rare  Ancient Antique ROMAN-Bizantine SILVER CROSS",37.0,Morocco,Roman,?,https://www.ebay.com/itm/Rare-Ancient-Antique-ROMAN-Bizantine-SILVER-CROSS/113308597209?hash=item1a61b7fbd9%3Ag%3AU-0AAOSwEqhbwzrf&LH_Auction=1
2019-01-18 00:00:00,"Sold  Jan 18, 2019 Super Roman Amphora Brooch",25.81,,Roman,?,
2019-01-13 00:00:00,"Sold  Jan 13, 2019 Rare ancient glass Phoenician bead seal , 300 bc",13.02,United Kingdom,Near east,?,https://www.ebay.com/itm/Rare-ancient-glass-Phoenician-bead-seal-300-bc/254058732357?hash=item3b27149b45%3Ag%3AnBwAAOSwFZZcNMqv&LH_Auction=1
2018-12-16 00:00:00,"Sold  Dec 16, 2018 ROMAN BRONZE FERTILITY RING",0.99,Serbia,Roman,?,https://www.ebay.com/itm/ROMAN-BRONZE-FERTILITY-RING/323590601742?hash=item4b5780bc0e%3Ag%3AbEEAAOSwQXlb6p7Z&LH_Auction=1
2018-12-11 00:00:00,"Sold  Dec 11, 2018 Unique Roman silver and brass very beautiful old Ring # R2",29.0,Thailand,Roman,?,https://www.ebay.com/itm/Unique-Roman-silver-and-brass-very-beautiful-old-Ring-R2/183562855575?hash=item2abd32e497%3Ag%3AzMoAAOSwa29byJk8&LH_Auction=1
2019-01-07 00:00:00,"Sold  Jan 7, 2019 AMAZING Late Roman Bronze RING, TOP DECORATION on TOP+++",14.99,Norway,Roman,?,https://www.ebay.com/itm/AMAZING-Late-Roman-Bronze-RING-TOP-DECORATION-on-TOP/323631408594?hash=item4b59ef65d2%3Ag%3AFdgAAOSwpLdcK%7EZe&LH_Auction=1
2018-11-07 00:00:00,"Sold  Nov 7, 2018 f. MOJAVE DESERT LAKE MANIX PALEOLITHIC  STONE NEOLITHIC HANDAXE ARTIFACT",41.0,,Pre-historic,?,
2018-12-30 00:00:00,"Sold  Dec 30, 2018 Ancient Vikings silver ring 9-12 AD",12.99,Morocco,Viking,?,https://www.ebay.com/itm/Ancient-Vikings-silver-ring-9-12-AD/264103173314?hash=item3d7dc69cc2%3Ag%3ACQkAAOSwHt1btJma&LH_Auction=1
2018-11-11 00:00:00,"Sold  Nov 11, 2018 Very Rare Ancient ROMAN LEGIONARY SILVER RING- Legio V Macedonica",61.01,Paracin,Roman,?,https://www.ebay.com/itm/Very-Rare-Ancient-ROMAN-LEGIONARY-SILVER-RING-Legio-V-Macedonica/113350239724?hash=item1a643365ec%3Ag%3Ac3oAAOSwhJNb31WP&LH_Auction=1
2018-12-08 00:00:00,"Sold  Dec 8, 2018 ANCIENT BYZANTINE PERIOD LEAD SEAL FRAGMENTS - LOT OF 7",9.9,Austria,Byzantine,?,https://www.ebay.com/itm/ANCIENT-BYZANTINE-PERIOD-LEAD-SEAL-FRAGMENTS-LOT-OF-7/323577856972?hash=item4b56be43cc%3Ag%3ABBoAAOSwO7dcAs6T&LH_Auction=1
2018-11-11 00:00:00,"Sold  Nov 11, 2018 ANCIENT ROMAN BRONZE APPLIQUE / MOUNT",1.28,,Roman,?,
2018-12-30 00:00:00,"Sold  Dec 30, 2018 ANCIENT ROMAN BRONZE FINGER RING 001",49.04,Bulgaria,Roman,?,https://www.ebay.com/itm/ANCIENT-ROMAN-BRONZE-FINGER-RING-001/254037470125?hash=item3b25d02bad%3Ag%3AOXMAAOSwl7dcH8aA&LH_Auction=1
2018-10-28 00:00:00,"Sold  Oct 28, 2018 CIRCA 100-400 AD ERA ROMAN BRONZE EUROPEAN HEAD OF A BABY MOUNT",27.1,United Kingdom,Roman,?,https://www.ebay.com/itm/CIRCA-100-400-AD-ERA-ROMAN-BRONZE-EUROPEAN-HEAD-OF-A-BABY-MOUNT/253937953216?hash=item3b1fe1a9c0%3Ag%3A8-kAAOSw-nRbxz5%7E&LH_Auction=1
2018-11-18 00:00:00,"Sold  Nov 18, 2018  ** ZEUS **Ancient Silver Legionary Greek Ring **AMAZING ** 21.21 grams",169.5,Serbia,Greek,?,https://www.ebay.com/itm/ZEUS-Ancient-Silver-Legionary-Greek-Ring-AMAZING-21-21-grams/302954765771?hash=item468982ddcb%3Ag%3AM8QAAOSwKA5b6MAJ&LH_Auction=1
2019-01-02 00:00:00,"Sold  Jan 2, 2019  Lovely Ancient Unique Roman old Seal intaglio Bronze  Bead",12.5,Thailand,Roman,?,https://www.ebay.com/itm/Lovely-Ancient-Unique-Roman-old-Seal-intaglio-Bronze-Bead/123564249326?hash=item1cc500d0ee%3Ag%3AoY0AAOSwv0dcI7pH&LH_Auction=1
2018-12-02 00:00:00,"Sold  Dec 2, 2018 ANCIENT BACTRIAN CA.1000 BC  ARCHAIC CRYSTAL BEAD SHAPED HAS LION - GIFT - 15",4.13,United Kingdom,Central asia,?,https://www.ebay.com/itm/ANCIENT-BACTRIAN-CA-1000-BC-ARCHAIC-CRYSTAL-BEAD-SHAPED-HAS-LION-GIFT-15/264059605997?hash=item3d7b2dd3ed%3Ag%3A1DUAAOSwTDpb-xDg&LH_Auction=1
