Object,Price,Location,Link
"Sold  Jan 30, 2019 Wonderful Solid silver King Face Unique Ancient Coin    # 8W",$50.00,"Bangkok, Thailand",https://www.ebay.com/itm/Wonderful-Solid-silver-King-Face-Unique-Ancient-Coin-8W/273672531593?hash=item3fb8276e89%3Ag%3AmTYAAOSwWWRcS17F&LH_Auction=1
"Sold  Jan 30, 2019 Wonderful Ancient Roman Bronze Oil Lamp with Bird Circa 300 BC #SR040",$46.00,"bangkok, Thailand",https://www.ebay.com/itm/Wonderful-Ancient-Roman-Bronze-Oil-Lamp-with-Bird-Circa-300-BC-SR040/153350430148?hash=item23b465ddc4%3Ag%3ARnQAAOSw4b1cSLl5&LH_Auction=1
"Sold  Jan 29, 2019 KANBLACK PLUME BLACK CREST BRUSH Natural Horse Hair For CORINTHIAN HELMET ARMOUR",$2.55,"DELHI, DELHI, India",https://www.ebay.com/itm/KANBLACK-PLUME-BLACK-CREST-BRUSH-Natural-Horse-Hair-For-CORINTHIAN-HELMET-ARMOUR/113589691178?hash=item1a7279232a%3Ag%3AToYAAOSwDEBcBhM6&LH_Auction=1
"Sold  Jan 29, 2019 Lot 20 ANCIENT Greek LEONTINOI SICILY Roman Indian POTTERY SHARDS 700 B.C. #4",$29.99,"default, Hong Kong",https://www.ebay.com/itm/Lot-20-ANCIENT-Greek-LEONTINOI-SICILY-Roman-Indian-POTTERY-SHARDS-700-B-C-4/254090296343?hash=item3b28f63c17%3Ag%3AI9cAAOSwOShcR7Yu&LH_Auction=1
"Sold  Jan 29, 2019 Lot 20 ANCIENT Greek Roman LEONTINOI SICILY American Indian POTTERY SHARDS #2",$29.99,"New York, New York, United States",https://www.ebay.com/itm/Lot-20-ANCIENT-Greek-Roman-LEONTINOI-SICILY-American-Indian-POTTERY-SHARDS-2/303038196328?hash=item468e7bea68%3Ag%3ANQEAAOSwusdcR7Qb&LH_Auction=1
"Sold  Jan 29, 2019 Lot 20 ANCIENT Greek Roman LEONTINOI SICILY American Indian POTTERY SHARDS #1",$29.99,"New York, New York, United States",https://www.ebay.com/itm/Lot-20-ANCIENT-Greek-Roman-LEONTINOI-SICILY-American-Indian-POTTERY-SHARDS-1/303038189799?hash=item468e7bd0e7%3Ag%3ASZcAAOSwNqxcR65m&LH_Auction=1
"Sold  Jan 29, 2019 Very rare Pottery Grece Vessel Rython circa 500-400 BC. very beautiful RESTORED",$190.00,"Berlin, Germany",https://www.ebay.com/itm/Very-rare-Pottery-Grece-Vessel-Rython-circa-500-400-BC-very-beautiful-RESTORED/254089418984?hash=item3b28e8d8e8%3Ag%3AQ2IAAOSwHptcR0dZ&LH_Auction=1
"Sold  Jan 29, 2019 Pottery Thracian Red-figure Krater circa 500-400 B.C. VERY RARE",$275.00,"FiuriMainz, Germany",https://www.ebay.com/itm/Pottery-Thracian-Red-figure-Krater-circa-500-400-B-C-VERY-RARE/254089374198?hash=item3b28e829f6%3Ag%3Ahk8AAOSw6PxcR0RE&LH_Auction=1
"Sold  Jan 29, 2019 SIilver Ring Zeus Ptolemaic Kingdom Egypt Ptolemy III Euergetes (246-222 BC)",$79.00,,
"Sold  Jan 29, 2019 Ancient Italian BC Medallion Coin Syracuse Nike Horse & War Carriage w/Silver AE",$32.00,"Alpine, New Jersey, United States",https://www.ebay.com/itm/Ancient-Italian-BC-Medallion-Coin-Syracuse-Nike-Horse-War-Carriage-w-Silver-AE/372573158295?hash=item56bf173b97%3Ag%3AhUgAAOSwXgxcQ704&LH_Auction=1
