Date,Object,Price,Location,Category,Link
2018-12-31 00:00:00,"Sold  Dec 31, 2018 Ancient islamic agate kufic inscription seal",19.0,Thailand,islamic,https://www.ebay.com/itm/Ancient-islamic-agate-kufic-inscription-seal/123564382698?hash=item1cc502d9ea%3Ag%3AjQcAAOSw1rpcDVdZ&LH_Auction=1
2018-12-10 00:00:00,"Sold  Dec 10, 2018 PRE-HISTORIC POTTERY HEADS (AUTHENTIC)  #4 of 5",48.0,,pre-historic,
2019-01-08 00:00:00,"Sold  Jan 8, 2019 Celtic ring/proto money, odd shapes!  Rare.",3.99,United States,celt,https://www.ebay.com/itm/Celtic-ring-proto-money-odd-shapes-Rare/173718530399?hash=item28726e695f%3Ag%3ATTUAAOSwJ%7Exb8Jwc&LH_Auction=1
2018-11-07 00:00:00,"Sold  Nov 7, 2018 66# Old Antique Ancient Roman, Yemen Black Glass Bracelet",1.0,Germany,islamic,https://www.ebay.com/itm/66-Old-Antique-Ancient-Roman-Yemen-Black-Glass-Bracelet/163340220151?hash=item2607d5f6f7%3Ag%3AO8cAAOSwOrpb1Tce&LH_Auction=1
2018-11-12 00:00:00,"Sold  Nov 12, 2018  Yemani Rare Old Agate Stone With Wonderful Writing Holy Quran Verses Kursi Ayat",103.49,Thailand,islamic,https://www.ebay.com/itm/Yemani-Rare-Old-Agate-Stone-With-Wonderful-Writing-Holy-Quran-Verses-Kursi-Ayat/323539137111?hash=item4b546f7257%3Ag%3APoIAAOSwIbtb44%7Ei&LH_Auction=1
2018-12-09 00:00:00,"Sold  Dec 9, 2018 Roman silver medical tool",32.0,Norway,roman,https://www.ebay.com/itm/Roman-silver-medical-tool/292845322850?hash=item442ef10262%3Ag%3AKa0AAOSw29JcBDGO&LH_Auction=1
2018-12-02 00:00:00,"Sold  Dec 2, 2018 *SC*ISLAMIC POTTERY BOWL, CENTRAL-WESTERN ASIA, C. 11TH. CENTURY AD!!",69.0,Denmark,islamic,https://www.ebay.com/itm/SC-ISLAMIC-POTTERY-BOWL-CENTRAL-WESTERN-ASIA-C-11TH-CENTURY-AD/223245446726?hash=item33fa772e46%3Ag%3AQdUAAOSwdhdb9tnG&LH_Auction=1
2019-01-09 00:00:00,"Sold  Jan 9, 2019 DANUBIAN HORSEMAN CULT ANCIENT CELTIC ROMAN LEAD VOTIVE PLAQUE 1-3 ct.AD 84 mm",200.0,Serbia,celt,https://www.ebay.com/itm/DANUBIAN-HORSEMAN-CULT-ANCIENT-CELTIC-ROMAN-LEAD-VOTIVE-PLAQUE-1-3-ct-AD-84-mm/143073056067?hash=item214fd19543%3Ag%3ApP4AAOSwCi9b4fRV&LH_Auction=1
2018-12-30 00:00:00,"Sold  Dec 30, 2018 Ancient Jewelry Ring Bronze 2,000 Years Old Antique Roman Celtic? Spiral Design",89.0,United States,celt,https://www.ebay.com/itm/Ancient-Jewelry-Ring-Bronze-2-000-Years-Old-Antique-Roman-Celtic-Spiral-Design/132894119662?hash=item1ef11b56ee%3Ag%3AeNsAAOSw4sNcGy4o&LH_Auction=1
2018-10-21 00:00:00,"Sold  Oct 21, 2018 Roman legionary fittings",0.99,Paracin,roman,https://www.ebay.com/itm/Roman-legionary-fittings/292771725729?hash=item442a8e01a1%3Ag%3AwhMAAOSwFvBbw4rz&LH_Auction=1
2019-01-12 00:00:00,"Sold  Jan 12, 2019 Roman legionary brooch",32.0,Slovakia,roman,https://www.ebay.com/itm/Roman-legionary-brooch/303019966333?hash=item468d65bf7d%3Ag%3AxMMAAOSwj5BcMQoF&LH_Auction=1
2018-12-09 00:00:00,"Sold  Dec 9, 2018 Russian Turkish islamic antique sword shamshir",2570.0,,islamic,
2018-11-20 00:00:00,"Sold  Nov 20, 2018 **IRON AGE**Ancient Bronze  CELTIC Ring **LA TENE ** 500BC**",10.5,Yugoslavia,celt,https://www.ebay.com/itm/IRON-AGE-Ancient-Bronze-CELTIC-Ring-LA-TENE-500BC/264042652175?hash=item3d7a2b220f%3Ag%3A0R4AAOSwSidb7gAt&LH_Auction=1
2018-11-09 00:00:00,"Sold  Nov 9, 2018 Vintage Antique Islamic Islam finger ring",14.2,United Kingdom,islamic,https://www.ebay.com/itm/Vintage-Antique-Islamic-Islam-finger-ring/123465642125?hash=item1cbf20308d%3Ag%3A%7EnsAAOSwzCtb3HF9&LH_Auction=1
2019-01-02 00:00:00,"Sold  Jan 2, 2019 Ancient silver Islamic ring. 18th century.",61.0,,islamic,
