Object,Price,Location,Seller,Link
"Oct 1, 2019 BRITISH FOUND ANCIENT CELTIC BRONZE HORSE FIGURINE CIRCA 100BC-100AD SUPERB",$79.32,"Didcot, United Kingdom",antiquiti,https://www.ebay.com/itm/BRITISH-FOUND-ANCIENT-CELTIC-BRONZE-HORSE-FIGURINE-CIRCA-100BC-100AD-SUPERB/153654133372?hash=item23c680027c%3Ag%3AV9cAAOSwHbtdiJhY&LH_Auction=1
"Oct 1, 2019 SCARCE ANCIENT CELTIC BRONZE BULL FIGURINE WITH REMNANTS OF GOLD GILT 100BC",$95.90,"Didcot, United Kingdom",antiquiti,https://www.ebay.com/itm/SCARCE-ANCIENT-CELTIC-BRONZE-BULL-FIGURINE-WITH-REMNANTS-OF-GOLD-GILT-100BC/153654132097?hash=item23c67ffd81%3Ag%3Aae4AAOSwX5hdiJfz&LH_Auction=1
"Oct 1, 2019 Roman (+ Celtic prob) objects",$7.16,"Brooklyn, New York, United States",davidvanvleckjr,https://www.ebay.com/itm/Roman-Celtic-prob-objects/283621225646?hash=item42092474ae%3Ag%3AXE4AAOSwv5ldeV5U&LH_Auction=1
"Oct 1, 2019 Ancient CELTIC Bronze Ring PROTO MONEY - 7pcs   Hallstatt culture",$3.25,"Novoarhangelsk, Ukraine",scandinavian-viking,https://www.ebay.com/itm/Ancient-CELTIC-Bronze-Ring-PROTO-MONEY-7pcs-Hallstatt-culture/143393392438?hash=item2162e98736%3Ag%3AKsQAAOSwu9NdimVK&LH_Auction=1
"Oct 1, 2019 Iron Battle  Axe 152mm. / Scythian 500-100BC.",$50.00,"Moscow, Russian Federation",antique-museum,https://www.ebay.com/itm/Iron-Battle-Axe-152mm-Scythian-500-100BC/223675005058?hash=item341411b882%3Ag%3A3k0AAOSwihtdhk9E&LH_Auction=1
"Sep 30, 2019 EXTREMELY RARE CELTIC *LA TENE* PERIOD GOLD RITUAL VOTIVE FIBULA+++",$249.99,"..................., Norway",aurelius1962,https://www.ebay.com/itm/EXTREMELY-RARE-CELTIC-LA-TENE-PERIOD-GOLD-RITUAL-VOTIVE-FIBULA/223678463386?hash=item3414467d9a%3Ag%3AOQIAAOSw5LVdgAIt&LH_Auction=1
"Sep 30, 2019 Iron Acinaces Dagger Griffin Scythian 500-100BC.",$31.00,"Moscow, Russian Federation",antique-museum,https://www.ebay.com/itm/Iron-Acinaces-Dagger-Griffin-Scythian-500-100BC/223673861602?hash=item34140045e2%3Ag%3AO2oAAOSwibRdhS5F&LH_Auction=1
"Sep 30, 2019 Roman  Celtic ancient  8 brooches fibula 1 - 3 century AD",$20.06,"UA, Ukraine",tony.seller,https://www.ebay.com/itm/Roman-Celtic-ancient-8-brooches-fibula-1-3-century-AD/163879351794?hash=item2627f875f2%3Ag%3AcYQAAOSwQB5di6yi&LH_Auction=1
"Sep 30, 2019 Roman  Celtic ancient  8 brooches fibula 1 - 3 century AD",$30.00,"UA, Ukraine",tony.seller,https://www.ebay.com/itm/Roman-Celtic-ancient-8-brooches-fibula-1-3-century-AD/163879351794?hash=item2627f875f2%3Ag%3AcYQAAOSwQB5di6yi&LH_Auction=1
"Sep 30, 2019 Roman  Celtic ancient  8 brooches fibula 1 - 3 century AD",$26.00,"UA, Ukraine",tony.seller,https://www.ebay.com/itm/Roman-Celtic-ancient-8-brooches-fibula-1-3-century-AD/163879351794?hash=item2627f875f2%3Ag%3AcYQAAOSwQB5di6yi&LH_Auction=1
"Sep 30, 2019 Celtic Drachm, Silver, Kugelwange type, Zeus, horse, Serbia, 3rd–2nd Century BC",$76.55,"Wien, Austria",agora-wien,https://www.ebay.com/itm/Celtic-Drachm-Silver-Kugelwange-type-Zeus-horse-Serbia-3rd-2nd-Century-BC/163862712056?hash=item2626fa8ef8%3Ag%3AboMAAOSwzAVdfWHe&LH_Auction=1
"Sep 30, 2019 Super Celtic Patinated Ring",$6.14,"Bishop's Stortford, United Kingdom",del550,https://www.ebay.com/itm/Super-Celtic-Patinated-Ring/153654425299?hash=item23c68476d3%3Ag%3Agr8AAOSw1t9diNV1&LH_Auction=1
"Sep 29, 2019 Celtic /Romano British Toggle fastener",$9.84,"Scarborough, United Kingdom",tempertant55,https://www.ebay.com/itm/Celtic-Romano-British-Toggle-fastener/264471497780?hash=item3d93bacc34%3Ag%3A1QMAAOSwLq1dg%7EUj&LH_Auction=1
"Sep 29, 2019 ANCIENT CELTIC SILVER RING IN THE FORM OF A COILED SNAKE CIRCA 100AD",$77.46,"Didcot, United Kingdom",antiquiti,https://www.ebay.com/itm/ANCIENT-CELTIC-SILVER-RING-IN-THE-FORM-OF-A-COILED-SNAKE-CIRCA-100AD/153651919126?hash=item23c65e3916%3Ag%3AbEwAAOSwUpJdhgVd&LH_Auction=1
"Sep 29, 2019 BRITISH FOUND CIRCA 100BC-100AD ANCIENT CELTIC BRONZE HORSE STATUETTE",$70.08,"Didcot, United Kingdom",antiquiti,https://www.ebay.com/itm/BRITISH-FOUND-CIRCA-100BC-100AD-ANCIENT-CELTIC-BRONZE-HORSE-STATUETTE/153651913506?hash=item23c65e2322%3Ag%3AatgAAOSwvatdhgR2&LH_Auction=1
"Sep 29, 2019 UNIQUE ANTIQUE CIRCA 300 BC ROMAN CELTIC SILVER RING WITH PHALLUS ON TOP",$2.25,"Sofia, Bulgaria",only-for-museum,https://www.ebay.com/itm/UNIQUE-ANTIQUE-CIRCA-300-BC-ROMAN-CELTIC-SILVER-RING-WITH-PHALLUS-ON-TOP/183966396952?hash=item2ad5407218%3Ag%3AXnUAAOSwrW9dh-d%7E&LH_Auction=1
"Sep 29, 2019 ANCIENT CELTIC SOLID SILVER SPIRAL SPECTACLE AMULET W ORIGINAL CHAIN CIRCA 900BC",$30.74,"Gisleham, United Kingdom",antiquitybox,https://www.ebay.com/itm/ANCIENT-CELTIC-SOLID-SILVER-SPIRAL-SPECTACLE-AMULET-W-ORIGINAL-CHAIN-CIRCA-900BC/264474367574?hash=item3d93e69656%3Ag%3ApLcAAOSw8chdhSDA&LH_Auction=1
