Object,Price,Location,Seller,Link
"Sep 22, 2019 Ancient iron arrow head Roman Byzantine Viking Medieval Crusader 100-1300AD #01",$6.00,"Europe , Macedonia",stadimi77,https://www.ebay.com/itm/Ancient-iron-arrow-head-Roman-Byzantine-Viking-Medieval-Crusader-100-1300AD-01/202779846271?hash=item2f369ee67f%3Ag%3A1PsAAOSwdqtdfyUg&LH_Auction=1
"Sep 22, 2019 BILLON CROSS PENDANT Byzantine",$4.99,"Zenica, Bosnia and Herzegovina",alexancient9,https://www.ebay.com/itm/BILLON-CROSS-PENDANT-Byzantine/323916817054?hash=item4b6af2629e%3Ag%3A6boAAOSwp6tdfrNI&LH_Auction=1
"Sep 22, 2019 BRONZE Byzantine RING",$2.99,"Zenica, Bosnia and Herzegovina",alexancient9,https://www.ebay.com/itm/BRONZE-Byzantine-RING/323916813568?hash=item4b6af25500%3Ag%3A3RAAAOSwQ8tdfrIk&LH_Auction=1
"Sep 22, 2019 BRONZE BYZANTINE RING WITH 3 STONES",$0.99,"Zenica, Bosnia and Herzegovina",alexancient9,https://www.ebay.com/itm/BRONZE-BYZANTINE-RING-WITH-3-STONES/323916774058?hash=item4b6af1baaa%3Ag%3AnVMAAOSwzhNdfqR2&LH_Auction=1
"Sep 22, 2019 LOT of 4pcs. ANCIENT ROMAN, BYZANTINE AND MEDIEVAL FINGER RINGS+++",$58.00,"..................., Norway",aurelius1962,https://www.ebay.com/itm/LOT-of-4pcs-ANCIENT-ROMAN-BYZANTINE-AND-MEDIEVAL-FINGER-RINGS/323916852190?hash=item4b6af2ebde%3Ag%3AsCkAAOSwzelddYUE&LH_Auction=1
"Sep 22, 2019 ANCIENT BYZANTINE CERAMIC GREEK FIRE GRENADE WAR OBJECT",$97.15,"Didcot, United Kingdom",antiquiti,https://www.ebay.com/itm/ANCIENT-BYZANTINE-CERAMIC-GREEK-FIRE-GRENADE-WAR-OBJECT/153641413109?hash=item23c5bde9f5%3Ag%3A9sUAAOSwM6Bde15e&LH_Auction=1
"Sep 22, 2019 ** Jesus of Nazareth ** Ancient Silver Byzantine Ring **AMAZING **",$46.00,"Serbia, Serbia",antique_store-1,https://www.ebay.com/itm/Jesus-of-Nazareth-Ancient-Silver-Byzantine-Ring-AMAZING/254362848221?hash=item3b39350bdd%3Ag%3AhBgAAOSwzhNdgVyo&LH_Auction=1
"Sep 22, 2019 ANCIENT BRONZE CROSS RARE. RELIGIOUS ARTIFACT 17 CENTURY. 47 mm. (R.008)",$3.00,"St.-Petersburg, Russian Federation",monetkinspb,https://www.ebay.com/itm/ANCIENT-BRONZE-CROSS-RARE-RELIGIOUS-ARTIFACT-17-CENTURY-47-mm-R-008/293225698598?hash=item44459d1526%3Ag%3AVkkAAOSwj8VcdYd0&LH_Auction=1
"Sep 22, 2019 ANCIENT BYZANTINE POLYGONAL WEIGHT WITH RING AND DOT MOTIFS RARE",$3.93,"Didcot, United Kingdom",antiquiti,https://www.ebay.com/itm/ANCIENT-BYZANTINE-POLYGONAL-WEIGHT-WITH-RING-AND-DOT-MOTIFS-RARE/153641481610?hash=item23c5bef58a%3Ag%3AHsgAAOSwadNde3TW&LH_Auction=1
"Sep 22, 2019 SUPERB ANCIENT BYZANTINE RING WITH DECORATED BEZEL. VERY FINE STATE",$10.45,"Didcot, United Kingdom",antiquiti,https://www.ebay.com/itm/SUPERB-ANCIENT-BYZANTINE-RING-WITH-DECORATED-BEZEL-VERY-FINE-STATE/153641480184?hash=item23c5beeff8%3Ag%3A4ncAAOSwMJFde3Q%7E&LH_Auction=1
